env/reward,env/reward_step,env/cumulative_vetoes,env/cumulative_vetoes_step,env/balance,env/balance_step
-77.4000015258789,4096,3904.0,4096,48028.890625,4096
45.869998931884766,8192,7829.0,8192,10279.8603515625,8192
-10.979999542236328,12288,11717.0,12288,28833.25,12288
53.70000076293945,16384,15637.0,16384,26297.779296875,16384
-50.0,20480,19555.0,20480,51382.26171875,20480
-50.0,24576,23466.0,24576,51506.23046875,24576
107.0199966430664,28672,27348.0,28672,13998.8095703125,28672
-50.0,32768,31226.0,32768,39464.80859375,32768
28.040000915527344,36864,35104.0,36864,12249.48046875,36864
40.689998626708984,40960,38990.0,40960,26919.279296875,40960
88.83999633789062,45056,42889.0,45056,24027.009765625,45056
67.69999694824219,49152,46768.0,49152,41840.6015625,49152
171.67999267578125,53248,50616.0,53248,23414.390625,53248
-317.1300048828125,57344,54443.0,57344,9619.7099609375,57344
-73.72000122070312,61440,58318.0,61440,21771.669921875,61440
-175.39999389648438,65536,62157.0,65536,13109.3896484375,65536
-95.93000030517578,69632,66006.0,69632,28997.130859375,69632
105.18000030517578,73728,69806.0,73728,5192.72998046875,73728
95.69999694824219,77824,73642.0,77824,32096.470703125,77824
-268.9800109863281,81920,77488.0,81920,13901.8603515625,81920
-405.2099914550781,86016,81344.0,86016,4426.14990234375,86016
7.400000095367432,90112,85130.0,90112,8253.830078125,90112
81.95999908447266,94208,88961.0,94208,15064.5302734375,94208
40.779998779296875,98304,92745.0,98304,13441.0,98304
-50.0,102400,96532.0,102400,20347.25,102400
-50.0,106496,100337.0,106496,15415.25,106496
-50.0,110592,104172.0,110592,34620.53125,110592
86.4000015258789,114688,107960.0,114688,40620.55078125,114688
-133.0,118784,111733.0,118784,42149.05859375,118784
-50.0,122880,115528.0,122880,25749.0703125,122880
-18.34000015258789,126976,119345.0,126976,38394.640625,126976
-232.32000732421875,131072,123142.0,131072,40607.171875,131072
-0.10000000149011612,135168,126971.0,135168,47553.30078125,135168
-0.5,139264,130792.0,139264,29683.640625,139264
-121.12999725341797,143360,134628.0,143360,26054.849609375,143360
-50.0,147456,138443.0,147456,36027.53125,147456
212.1999969482422,151552,142259.0,151552,46703.19921875,151552
-57.11000061035156,155648,146093.0,155648,51766.359375,155648
-0.28999999165534973,159744,149916.0,159744,4938.43017578125,159744
476.30999755859375,163840,153704.0,163840,19047.640625,163840
-50.0,167936,157450.0,167936,22166.01953125,167936
-76.62000274658203,172032,161230.0,172032,33703.16015625,172032
135.1999969482422,176128,165008.0,176128,17347.1796875,176128
211.57000732421875,180224,168869.0,180224,40842.26171875,180224
5.090000152587891,184320,172691.0,184320,40457.16015625,184320
-74.58000183105469,188416,176467.0,188416,12944.900390625,188416
94.95999908447266,192512,180259.0,192512,42672.05078125,192512
-9.680000305175781,196608,184059.0,196608,24618.009765625,196608
-129.94000244140625,200704,187865.0,200704,15054.2900390625,200704
25.920000076293945,204800,191682.0,204800,12266.150390625,204800
-376.3399963378906,208896,195504.0,208896,11162.759765625,208896
65.19000244140625,212992,199319.0,212992,42393.7109375,212992
-262.1499938964844,217088,203130.0,217088,45252.33984375,217088
-49.40999984741211,221184,206926.0,221184,29564.029296875,221184
-50.0,225280,210711.0,225280,46181.83984375,225280
-50.0,229376,214515.0,229376,11751.5498046875,229376
75.77999877929688,233472,218317.0,233472,47855.6796875,233472
-25.059999465942383,237568,222125.0,237568,30884.1796875,237568
41.599998474121094,241664,225926.0,241664,39234.08984375,241664
-11.100000381469727,245760,229697.0,245760,43142.4296875,245760
-50.0,249856,233518.0,249856,18978.75,249856
-60.70000076293945,253952,237328.0,253952,31460.439453125,253952
26.18000030517578,258048,241151.0,258048,50408.62109375,258048
119.9000015258789,262144,244962.0,262144,42642.91015625,262144
-42.400001525878906,266240,248753.0,266240,26541.08984375,266240
80.83999633789062,270336,252550.0,270336,39717.21875,270336
824.4299926757812,274432,256361.0,274432,25734.189453125,274432
60.04999923706055,278528,260180.0,278528,22227.9609375,278528
-50.0,282624,264014.0,282624,39228.6484375,282624
-50.0,286720,267857.0,286720,49215.578125,286720
48.81999969482422,290816,271717.0,290816,149.9600067138672,290816
148.6199951171875,294912,275563.0,294912,3643.550048828125,294912
-34.68000030517578,299008,279416.0,299008,40930.69921875,299008
-50.0,303104,283268.0,303104,14869.900390625,303104
